name,address,rating
Baati Chokha Restaurant Gorakhpur,N/A,4.8
Rangrezza Restaurant & Banquet Hall.,N/A,4.5
Kohinoor Restaurant Gorakhpur,N/A,4.6
10 Park Street Restaurant & Banquets,N/A,4.6
"The Terai Restaurant, Banquet Hall & Rooftop Bar",N/A,4.2
Zunoon Restaurant & Banquet,N/A,4.5
Shahanshah,N/A,4.1
The Gorakhpur Family Restaurant,N/A,4.9
Akash Ganga The Terrace Restro Lounge - Bar in Gorakhpur | Terrace Restaurant in Gorakhpur,N/A,4.6
Chawla Restaurant & Party Hall,N/A,3.9
"The Currynights Restaurant & Banquet, Party Hall",N/A,4.2
Baati Chokha Restaurant Gorakhpur,N/A,4.9
Desi Cozy Restaurant & Cafe,N/A,4.8
The Spicy Rasoi,N/A,4.0
The Tau's Restaurant,N/A,4.6
Cinnamon Restaurant,N/A,4.1
JAIL RESTAURANT & DINING,N/A,3.9
"Cassia Restaurant, Cafe and Party Hall",N/A,4.3
Pind Balluchi,N/A,4.0
Neurons Restrobar By Rangrezza,N/A,4.6
Parampara Baati Chokha,N/A,4.5
Chulha Chowka Restaurant,N/A,4.0
D'granary,N/A,4.6
Hazratgunj Restaurant & Banquet Hall | Park Road,N/A,4.5
CURRY ON RESTAURANT BANQUET & SKY LOUNGE.,N/A,4.0
Grilled Chilli Restaurant,N/A,3.9
Sharda dinings,N/A,4.3
The Flavour Restaurant & Banquet,N/A,4.6
"Loud and Cloud Pure Veg Resturant, Gorakhpur",N/A,4.9
Biryani By Kilo-Gorakhpur,N/A,3.9
High Class Marwari Bhojanalaya,N/A,4.3
The Swag Factory,N/A,4.2
Omika Restaurant,N/A,4.6
Barbeque Nation - Gorakhpur - City Mall,N/A,4.4
Dhindhora Restaurant,N/A,4.8
Food Cage & The Crystal Ballroom Banquet Hall,N/A,4.3
AGRAWAL Kaar Khana,N/A,3.9
D2night,N/A,4.7
Quality Jalpan grih,N/A,4.4
NIWALA Cafe & Restaurant,N/A,4.3
Fat Tiger Cafe & Restaurant,N/A,4.1
Gorakhpur Club Family Restaurant,N/A,4.9
Sky Garden Roof top cafe,N/A,4.1
Bhukkad Nath Restaurant & Cafe,N/A,4.5
Miss Khauji Restaurant,N/A,4.8
Desi Swad Restaurant & Benquet Hall,N/A,4.9
"The Royal Darbaar Hotel, Restaurant & Banquet Hall",N/A,3.8
CHAAT ADDA (PRABHAV FOODS),N/A,4.9
"Red Rose Restaurant,Sweet's & Banquet Hall, Party Hall.",N/A,4.6
Rajwada Restaurent,N/A,3.8
Kukkad Chowk,N/A,5.0
The Mirch Masala Restaurant,N/A,4.0
Rag Belly Restaurant & Banquet hall,N/A,3.9
Curry Junction,N/A,4.0
Food lovers,N/A,4.5
